playerID,team_id,fullName,posType,position 
8471228,25,Alexander Radulov,Forward,RW
8471260,25,Blake Comeau,Forward,LW
8471392,25,Roman Polak,Defenseman,D
8471418,25,Anton Khudobin,Goalie,G
8471699,25,Andrew Cogliano,Forward,C
8471750,25,Ben Bishop,Goalie,G
8473933,25,Ben Lovejoy,Defenseman,D
8473994,25,Jamie Benn,Forward,LW
8475413,25,Justin Dowling,Forward,C
8475692,25,Mats Zuccarello,Forward,C
8475752,25,Tyler Pitlick,Forward,C
8475794,25,Tyler Seguin,Forward,C
8475906,25,John Klingberg,Defenseman,D
8476166,25,Taylor Fedun,Defenseman,D
8476439,25,Brett Ritchie,Forward,RW
8476467,25,Jamie Oleksiak,Defenseman,D
8476889,25,Radek Faksa,Forward,C
8476902,25,Esa Lindell,Defenseman,D
8477406,25,Mattias Janmark,Forward,C
8477450,25,Jason Dickinson,Forward,C
8477471,25,Dillon Heatherington,Defenseman,D
8477501,25,Valeri Nichushkin,Forward,RW
8477810,25,Joel Hanley,Defenseman,D
8477945,25,Julius Honka,Defenseman,D
8478449,25,Roope Hintz,Forward,LW
8478495,25,Denis Gurianov,Forward,RW
8479016,25,Landon Bow,Goalie,G
8479374,25,Adam Mascherin,Forward,LW
8479381,25,Nicholas Caamano,Forward,RW
8479945,25,Gavin Bayreuther,Defenseman,D
8480036,25,Miro Heiskanen,Defenseman,D
8480769,25,Joel L'Esperance,Forward,C
8469454,26,Ilya Kovalchuk,Forward,LW
8470602,26,Dion Phaneuf,Defenseman,D
8470604,26,Jeff Carter,Forward,C
8470606,26,Dustin Brown,Forward,RW
8471685,26,Anze Kopitar,Forward,C
8471734,26,Jonathan Quick,Goalie,G
8473453,26,Trevor Lewis,Forward,C
8474166,26,Alec Martinez,Defenseman,D
8474563,26,Drew Doughty,Defenseman,D
8475160,26,Kyle Clifford,Forward,LW
8475726,26,Tyler Toffoli,Forward,RW
8475762,26,Derek Forbort,Defenseman,D
8475789,26,Jack Campbell,Goalie,G
8476894,26,Brendan Leipsic,Forward,LW
8476983,26,Paul LaDue,Defenseman,D
8477073,26,Kurtis MacDermid,Defenseman,D
8477380,26,Jonny Brodzinski,Forward,LW
8477960,26,Adrian Kempe,Forward,C
8478455,26,Austin Wagner,Forward,LW
8478911,26,Matt Roy,Defenseman,D
8479336,26,Carl Grundstrom,Forward,RW
8480113,26,Alex Iafallo,Forward,LW
8480336,26,Sean Walker,Defenseman,D
8481481,26,Blake Lizotte,Forward,C
8466138,28,Joe Thornton,Forward,C
8470613,28,Brent Burns,Defenseman,D
8470794,28,Joe Pavelski,Forward,C
8471709,28,Marc-Edouard Vlasic,Defenseman,D
8474027,28,Justin Braun,Defenseman,D
